Date,Total Weather Events
1/1/2010,547
2/1/2010,165
3/1/2010,733
4/1/2010,347
5/1/2010,1138
6/1/2010,1697
7/1/2010,2370
8/1/2010,2317
9/1/2010,1096
10/1/2010,589
11/1/2010,393
12/1/2010,575
1/1/2011,393
2/1/2011,529
3/1/2011,1117
4/1/2011,1664
5/1/2011,1663
6/1/2011,1715
7/1/2011,3152
8/1/2011,2566
9/1/2011,1785
10/1/2011,647
11/1/2011,694
12/1/2011,651
1/1/2012,553
2/1/2012,488
3/1/2012,998
4/1/2012,548
5/1/2012,940
6/1/2012,1891
7/1/2012,3377
8/1/2012,2034
9/1/2012,1465
10/1/2012,1151
11/1/2012,923
12/1/2012,887
